tag,family,active_keys,max_entries,key_size,value_size,environment,run,case,real_ns_per_invocation,control_ns_per_invocation,net_ns_per_helper
lf0512,load,512,1024,4,8,kernel,2,percpu_hash_update,65175.475200000,2377.792000000,62.797683200
lf0512,load,512,1024,4,8,kernel,3,hash_lookup,23003.104000000,2671.635200000,20.331468800
lf0512,load,512,1024,4,8,kernel,3,hash_update,89316.582400000,2377.075200000,86.939507200
lf0512,load,512,1024,4,8,kernel,3,percpu_hash_lookup,24375.692800000,2671.635200000,21.704057600
lf0512,load,512,1024,4,8,kernel,3,percpu_hash_update,65113.369600000,2377.075200000,62.736294400
lf0512,load,512,1024,4,8,kernel,4,hash_lookup,22917.388800000,2739.001600000,20.178387200
lf0512,load,512,1024,4,8,kernel,4,hash_update,89116.460800000,2450.476800000,86.665984000
lf0512,load,512,1024,4,8,kernel,4,percpu_hash_lookup,24388.774400000,2739.001600000,21.649772800
lf0512,load,512,1024,4,8,kernel,4,percpu_hash_update,65144.928000000,2450.476800000,62.694451200
lf0512,load,512,1024,4,8,kernel,5,hash_lookup,22975.590400000,2675.635200000,20.299955200
lf0512,load,512,1024,4,8,kernel,5,hash_update,89285.472000000,2376.556800000,86.908915200
lf0512,load,512,1024,4,8,kernel,5,percpu_hash_lookup,24318.361600000,2675.635200000,21.642726400
lf0512,load,512,1024,4,8,kernel,5,percpu_hash_update,65145.939200000,2376.556800000,62.769382400
lf0512,load,512,1024,4,8,bpftime,1,hash_lookup,44784.736000000,1181.734400000,43.603001600
lf0512,load,512,1024,4,8,bpftime,1,hash_update,42467.648000000,378.873600000,42.088774400
lf0512,load,512,1024,4,8,bpftime,1,percpu_hash_lookup,154671.609600000,1181.734400000,153.489875200
lf0512,load,512,1024,4,8,bpftime,1,percpu_hash_update,228269.593600000,378.873600000,227.890720000
lf0512,load,512,1024,4,8,bpftime,2,hash_lookup,45644.902400000,1189.779200000,44.455123200
lf0512,load,512,1024,4,8,bpftime,2,hash_update,42094.835200000,387.795200000,41.707040000
lf0512,load,512,1024,4,8,bpftime,2,percpu_hash_lookup,154225.004800000,1189.779200000,153.035225600
lf0512,load,512,1024,4,8,bpftime,2,percpu_hash_update,227347.827200000,387.795200000,226.960032000
lf0512,load,512,1024,4,8,bpftime,3,hash_lookup,44879.328000000,1181.996800000,43.697331200
lf0512,load,512,1024,4,8,bpftime,3,hash_update,42414.854400000,379.251200000,42.035603200
lf0512,load,512,1024,4,8,bpftime,3,percpu_hash_lookup,154677.612800000,1181.996800000,153.495616000
lf0512,load,512,1024,4,8,bpftime,3,percpu_hash_update,227812.934400000,379.251200000,227.433683200
lf0512,load,512,1024,4,8,bpftime,4,hash_lookup,45627.110400000,1199.443200000,44.427667200
lf0512,load,512,1024,4,8,bpftime,4,hash_update,42462.124800000,395.942400000,42.066182400
lf0512,load,512,1024,4,8,bpftime,4,percpu_hash_lookup,154552.236800000,1199.443200000,153.352793600
lf0512,load,512,1024,4,8,bpftime,4,percpu_hash_update,227861.356800000,395.942400000,227.465414400
lf0512,load,512,1024,4,8,bpftime,5,hash_lookup,44425.004800000,1183.027200000,43.241977600
lf0512,load,512,1024,4,8,bpftime,5,hash_update,41821.561600000,379.065600000,41.442496000
lf0512,load,512,1024,4,8,bpftime,5,percpu_hash_lookup,154129.766400000,1183.027200000,152.946739200
lf0512,load,512,1024,4,8,bpftime,5,percpu_hash_update,226959.468800000,379.065600000,226.580403200
key0016,key,512,1024,16,8,kernel,1,hash_lookup,31156.646400000,2830.284800000,28.326361600
key0016,key,512,1024,16,8,kernel,1,hash_update,95382.112000000,2784.915200000,92.597196800
key0016,key,512,1024,16,8,kernel,1,percpu_hash_lookup,31446.880000000,2830.284800000,28.616595200
key0016,key,512,1024,16,8,kernel,1,percpu_hash_update,71819.500800000,2784.915200000,69.034585600
key0016,key,512,1024,16,8,kernel,2,hash_lookup,31251.347200000,2831.180800000,28.420166400
key0016,key,512,1024,16,8,kernel,2,hash_update,95441.120000000,2805.894400000,92.635225600
key0016,key,512,1024,16,8,kernel,2,percpu_hash_lookup,31339.788800000,2831.180800000,28.508608000
key0016,key,512,1024,16,8,kernel,2,percpu_hash_update,71847.097600000,2805.894400000,69.041203200
key0016,key,512,1024,16,8,kernel,3,hash_lookup,31255.628800000,2827.609600000,28.428019200
key0016,key,512,1024,16,8,kernel,3,hash_update,95397.280000000,2795.436800000,92.601843200
key0016,key,512,1024,16,8,kernel,3,percpu_hash_lookup,31456.313600000,2827.609600000,28.628704000
key0016,key,512,1024,16,8,kernel,3,percpu_hash_update,71878.528000000,2795.436800000,69.083091200
key0016,key,512,1024,16,8,kernel,4,hash_lookup,31379.385600000,2828.998400000,28.550387200
key0016,key,512,1024,16,8,kernel,4,hash_update,95536.985600000,2793.017600000,92.743968000
key0016,key,512,1024,16,8,kernel,4,percpu_hash_lookup,31395.136000000,2828.998400000,28.566137600
key0016,key,512,1024,16,8,kernel,4,percpu_hash_update,71901.843200000,2793.017600000,69.108825600
key0016,key,512,1024,16,8,kernel,5,hash_lookup,31186.649600000,2827.296000000,28.359353600
key0016,key,512,1024,16,8,kernel,5,hash_update,95364.032000000,2808.768000000,92.555264000
key0016,key,512,1024,16,8,kernel,5,percpu_hash_lookup,31409.529600000,2827.296000000,28.582233600
key0016,key,512,1024,16,8,kernel,5,percpu_hash_update,71927.801600000,2808.768000000,69.119033600
key0016,key,512,1024,16,8,bpftime,1,hash_lookup,79741.804800000,1267.564800000,78.474240000
key0016,key,512,1024,16,8,bpftime,1,hash_update,78706.713600000,2117.504000000,76.589209600
