tag,case,control,reason,environment,metric,run,iterations,real_count,control_count,net_per_helper
key0064,hash_lookup,lookup_control,64B-key ordinary lookup endpoint,kernel,cycles,1,5000,655101487.000,94173228.000,112.185651800
key0064,hash_lookup,lookup_control,64B-key ordinary lookup endpoint,kernel,cycles,2,5000,655523524.000,93710676.000,112.362569600
key0064,hash_lookup,lookup_control,64B-key ordinary lookup endpoint,kernel,cycles,3,5000,658632440.000,93775212.000,112.971445600
key0064,hash_lookup,lookup_control,64B-key ordinary lookup endpoint,kernel,instructions,1,5000,1663309861.000,235931960.000,285.475580200
key0064,hash_lookup,lookup_control,64B-key ordinary lookup endpoint,kernel,instructions,2,5000,1663326940.000,236207014.000,285.423985200
key0064,hash_lookup,lookup_control,64B-key ordinary lookup endpoint,kernel,instructions,3,5000,1663298077.000,235861093.000,285.487396800
key0064,hash_lookup,lookup_control,64B-key ordinary lookup endpoint,bpftime,cycles,1,5000,1727930913.000,352500139.000,275.086154800
key0064,hash_lookup,lookup_control,64B-key ordinary lookup endpoint,bpftime,cycles,2,5000,1736594083.000,348724215.000,277.573973600
key0064,hash_lookup,lookup_control,64B-key ordinary lookup endpoint,bpftime,cycles,3,5000,1739854786.000,350774061.000,277.816145000
key0064,hash_lookup,lookup_control,64B-key ordinary lookup endpoint,bpftime,instructions,1,5000,4160636513.000,692867894.000,693.553723800
key0064,hash_lookup,lookup_control,64B-key ordinary lookup endpoint,bpftime,instructions,2,5000,4160455977.000,693505673.000,693.390060800
key0064,hash_lookup,lookup_control,64B-key ordinary lookup endpoint,bpftime,instructions,3,5000,4160785590.000,692987881.000,693.559541800
key0064,hash_update,update_control,64B-key ordinary update endpoint,kernel,cycles,1,5000,1206548104.000,96106210.000,222.088378800
key0064,hash_update,update_control,64B-key ordinary update endpoint,kernel,cycles,2,5000,1206878567.000,96164989.000,222.142715600
key0064,hash_update,update_control,64B-key ordinary update endpoint,kernel,cycles,3,5000,1208529605.000,96366672.000,222.432586600
key0064,hash_update,update_control,64B-key ordinary update endpoint,kernel,instructions,1,5000,3015844781.000,235907095.000,555.987537200
key0064,hash_update,update_control,64B-key ordinary update endpoint,kernel,instructions,2,5000,3015855840.000,235916955.000,555.987777000
key0064,hash_update,update_control,64B-key ordinary update endpoint,kernel,instructions,3,5000,3015856222.000,235922820.000,555.986680400
key0064,hash_update,update_control,64B-key ordinary update endpoint,bpftime,cycles,1,5000,1740178686.000,356178188.000,276.800099600
key0064,hash_update,update_control,64B-key ordinary update endpoint,bpftime,cycles,2,5000,1734909773.000,354355175.000,276.110919600
key0064,hash_update,update_control,64B-key ordinary update endpoint,bpftime,cycles,3,5000,1740185537.000,354507852.000,277.135537000
key0064,hash_update,update_control,64B-key ordinary update endpoint,bpftime,instructions,1,5000,3990662881.000,697844028.000,658.563770600
key0064,hash_update,update_control,64B-key ordinary update endpoint,bpftime,instructions,2,5000,3990873055.000,698199906.000,658.534629800
key0064,hash_update,update_control,64B-key ordinary update endpoint,bpftime,instructions,3,5000,3989950048.000,697885170.000,658.412975600
key0064,percpu_hash_lookup,lookup_control,64B-key per-CPU lookup endpoint,kernel,cycles,1,5000,651097121.000,93773130.000,111.464798200
key0064,percpu_hash_lookup,lookup_control,64B-key per-CPU lookup endpoint,kernel,cycles,2,5000,652034565.000,93759626.000,111.654987800
key0064,percpu_hash_lookup,lookup_control,64B-key per-CPU lookup endpoint,kernel,cycles,3,5000,651177387.000,93829181.000,111.469641200
