map,operation,stat,pair,noop_wall_ns,real_wall_ns,net_wall_ns,noop_task-clock,real_task-clock,net_task-clock,noop_cycles,real_cycles,net_cycles,noop_instructions,real_instructions,net_instructions,noop_branches,real_branches,net_branches,noop_branch-misses,real_branch-misses,net_branch-misses,noop_cache-references,real_cache-references,net_cache-references,noop_cache-misses,real_cache-misses,net_cache-misses
hash,lookup,min,,2.7739106666666666,78.20536533333333,75.43145466666667,3.5631147540983608,78.99491803278688,75.43180327868852,7.767385803278689,172.30287475409835,164.53548895081965,17.119089590163934,278.25853414754096,261.1013024426229,3.3835353278688522,59.49512345901639,56.093288983606556,0.006561245901639344,0.20992939344262296,0.20336814754098362,0.051094,0.0620524262295082,0.010958426229508197,0.025760426229508197,0.029208081967213115,0.0009848032786885265
hash,lookup,max,,2.7857266666666667,80.10586733333334,77.32580733333333,3.5781967213114756,80.8916393442623,77.3204918032787,7.79877493442623,176.4353928852459,168.65261695081966,17.157231704918033,280.7322756557377,263.6039870819672,3.401834475409836,60.50730152459016,57.115685426229504,0.00785932786885246,0.29584675409836064,0.2886564426229508,0.05182439344262295,0.06683183606557377,0.015617000000000006,0.028243704918032787,0.029571557377049182,0.0038111311475409852
hash,update,pair,1,2.7829333333333333,87.10394733333334,84.321014,3.5585245901639344,87.8860655737705,84.32754098360655,7.757238213114754,191.69013004918034,183.93289183606558,16.078053573770493,338.9918062622951,322.9137526885246,3.3783811475409835,67.78781657377048,64.4094354262295,0.007451852459016394,0.26085427868852457,0.25340242622950815,0.050674245901639346,0.06728681967213115,0.016612573770491808,0.02666983606557377,0.029240131147540982,0.002570295081967211
hash,update,pair,2,2.7748316666666666,109.51145466666667,106.736623,3.557704918032787,110.29196721311476,106.73426229508198,7.756647098360656,240.55984113114755,232.8031940327869,16.093240180327868,340.50757550819674,324.41433532786886,3.389999344262295,68.36729396721312,64.97729462295082,0.007026196721311475,0.38664083606557376,0.37961463934426226,0.050721213114754096,0.0738220655737705,0.0231008524590164,0.027548180327868852,0.029013803278688525,0.0014656229508196728
hash,update,pair,3,2.7828406666666665,85.304679,82.52183833333332,3.5677049180327867,86.08688524590164,82.51918032786885,7.778249475409836,187.76711650819672,179.98886703278689,16.124616918032785,338.9308017704918,322.80618485245907,3.3900533606557377,67.75301931147541,64.36296595081967,0.007940918032786886,0.2049516393442623,0.19701072131147543,0.05127077049180328,0.06511281967213114,0.013842049180327866,0.0276047868852459,0.029189262295081966,0.0015844754098360662
hash,update,pair,4,2.780482,91.43140933333333,88.65092733333333,3.5665573770491803,92.20868852459016,88.64213114754098,7.774348836065574,201.1223652295082,193.34801639344263,16.09846249180328,340.3043342295082,324.2058717377049,3.3823356393442623,68.31633104918033,64.93399540983607,0.007246049180327869,0.4624327868852459,0.455186737704918,0.051180688524590165,0.06058522950819672,0.009404540983606553,0.02735504918032787,0.02918,0.001824950819672131
hash,update,pair,5,2.7837883333333333,83.49754633333333,80.713758,3.567049180327869,84.27737704918033,80.71032786885246,7.77664875409836,183.8259857377049,176.04933698360657,16.095253229508195,337.92494867213117,321.82969544262295,3.3845119344262296,67.37357655737705,63.98906462295082,0.007852573770491804,0.13807560655737705,0.13022303278688524,0.05104585245901639,0.062047639344262294,0.011001786885245904,0.027773245901639345,0.028530508196721312,0.0007572622950819674
hash,update,median,,2.7828406666666665,87.10394733333334,84.321014,3.5665573770491803,87.8860655737705,84.32754098360655,7.774348836065574,191.69013004918034,183.93289183606558,16.095253229508195,338.9918062622951,322.9137526885246,3.3845119344262296,67.78781657377048,64.4094354262295,0.007451852459016394,0.26085427868852457,0.25340242622950815,0.05104585245901639,0.06511281967213114,0.013842049180327866,0.027548180327868852,0.02918,0.0015844754098360662
hash,update,min,,2.7748316666666666,83.49754633333333,80.713758,3.557704918032787,84.27737704918033,80.71032786885246,7.756647098360656,183.8259857377049,176.04933698360657,16.078053573770493,337.92494867213117,321.82969544262295,3.3783811475409835,67.37357655737705,63.98906462295082,0.007026196721311475,0.13807560655737705,0.13022303278688524,0.050674245901639346,0.06058522950819672,0.009404540983606553,0.02666983606557377,0.028530508196721312,0.0007572622950819674
hash,update,max,,2.7837883333333333,109.51145466666667,106.736623,3.5677049180327867,110.29196721311476,106.73426229508198,7.778249475409836,240.55984113114755,232.8031940327869,16.124616918032785,340.50757550819674,324.41433532786886,3.3900533606557377,68.36729396721312,64.97729462295082,0.007940918032786886,0.4624327868852459,0.455186737704918,0.05127077049180328,0.0738220655737705,0.0231008524590164,0.027773245901639345,0.029240131147540982,0.002570295081967211
