map_kind,operation,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
percpu_array,array_lookup,real-minus-control,10,20000,0,2.060046400
percpu_array,array_update,real,10,20000,309921632,15496.081600000
percpu_array,array_update,control,10,20000,18851552,942.577600000
percpu_array,array_update,real-minus-control,10,20000,0,14.553504000
hash,hash_lookup,real,10,20000,544856480,27242.824000000
hash,hash_lookup,control,10,20000,24674880,1233.744000000
hash,hash_lookup,real-minus-control,10,20000,0,26.009080000
hash,hash_update,real,10,20000,1874476480,93723.824000000
hash,hash_update,control,10,20000,21004384,1050.219200000
hash,hash_update,real-minus-control,10,20000,0,92.673604800
percpu_hash,hash_lookup,real,10,20000,563656480,28182.824000000
percpu_hash,hash_lookup,control,10,20000,23967680,1198.384000000
percpu_hash,hash_lookup,real-minus-control,10,20000,0,26.984440000
percpu_hash,hash_update,real,10,20000,1345393568,67269.678400000
percpu_hash,hash_update,control,10,20000,17387072,869.353600000
percpu_hash,hash_update,real-minus-control,10,20000,0,66.400324800
