map_kind,operation,implementation,round,run_cnt,runtime_ns,avg_ns_per_invocation
percpu_array,array_update,real,14,20000,307791616,15389.580800000
percpu_array,array_update,control,14,20000,17297408,864.870400000
percpu_array,array_update,real-minus-control,14,20000,0,14.524710400
hash,hash_lookup,real,14,20000,534143392,26707.169600000
hash,hash_lookup,control,14,20000,35888128,1794.406400000
hash,hash_lookup,real-minus-control,14,20000,0,24.912763200
hash,hash_update,real,14,20000,1826558720,91327.936000000
hash,hash_update,control,14,20000,17663872,883.193600000
hash,hash_update,real-minus-control,14,20000,0,90.444742400
percpu_hash,hash_lookup,real,14,20000,559503872,27975.193600000
percpu_hash,hash_lookup,control,14,20000,23779392,1188.969600000
percpu_hash,hash_lookup,real-minus-control,14,20000,0,26.786224000
percpu_hash,hash_update,real,14,20000,1336313728,66815.686400000
percpu_hash,hash_update,control,14,20000,19013504,950.675200000
percpu_hash,hash_update,real-minus-control,14,20000,0,65.865011200
array,array_lookup,control,15,20000,23761408,1188.070400000
array,array_lookup,real,15,20000,52879552,2643.977600000
array,array_lookup,real-minus-control,15,20000,0,1.455907200
array,array_update,control,15,20000,18753568,937.678400000
array,array_update,real,15,20000,237769664,11888.483200000
array,array_update,real-minus-control,15,20000,0,10.950804800
percpu_array,array_lookup,control,15,20000,24534368,1226.718400000
percpu_array,array_lookup,real,15,20000,64830624,3241.531200000
percpu_array,array_lookup,real-minus-control,15,20000,0,2.014812800
percpu_array,array_update,control,15,20000,17284064,864.203200000
percpu_array,array_update,real,15,20000,308017120,15400.856000000
percpu_array,array_update,real-minus-control,15,20000,0,14.536652800
hash,hash_lookup,control,15,20000,35907584,1795.379200000
hash,hash_lookup,real,15,20000,534213376,26710.668800000
hash,hash_lookup,real-minus-control,15,20000,0,24.915289600
hash,hash_update,control,15,20000,17657696,882.884800000
hash,hash_update,real,15,20000,1826915200,91345.760000000
hash,hash_update,real-minus-control,15,20000,0,90.462875200
percpu_hash,hash_lookup,control,15,20000,23754976,1187.748800000
percpu_hash,hash_lookup,real,15,20000,562333344,28116.667200000
percpu_hash,hash_lookup,real-minus-control,15,20000,0,26.928918400
percpu_hash,hash_update,control,15,20000,19004736,950.236800000
percpu_hash,hash_update,real,15,20000,1338043264,66902.163200000
percpu_hash,hash_update,real-minus-control,15,20000,0,65.951926400
array,array_lookup,real,16,20000,52835008,2641.750400000
array,array_lookup,control,16,20000,23782528,1189.126400000
array,array_lookup,real-minus-control,16,20000,0,1.452624000
array,array_update,real,16,20000,237789120,11889.456000000
array,array_update,control,16,20000,18747712,937.385600000
array,array_update,real-minus-control,16,20000,0,10.952070400
percpu_array,array_lookup,real,16,20000,64823136,3241.156800000
percpu_array,array_lookup,control,16,20000,24516736,1225.836800000
percpu_array,array_lookup,real-minus-control,16,20000,0,2.015320000
percpu_array,array_update,real,16,20000,307700864,15385.043200000
percpu_array,array_update,control,16,20000,17272960,863.648000000
percpu_array,array_update,real-minus-control,16,20000,0,14.521395200
hash,hash_lookup,real,16,20000,547210336,27360.516800000
hash,hash_lookup,control,16,20000,23767936,1188.396800000
hash,hash_lookup,real-minus-control,16,20000,0,26.172120000
hash,hash_update,real,16,20000,1827000736,91350.036800000
hash,hash_update,control,16,20000,17666592,883.329600000
hash,hash_update,real-minus-control,16,20000,0,90.466707200
percpu_hash,hash_lookup,real,16,20000,561173952,28058.697600000
percpu_hash,hash_lookup,control,16,20000,23761088,1188.054400000
percpu_hash,hash_lookup,real-minus-control,16,20000,0,26.870643200
percpu_hash,hash_update,real,16,20000,1336946848,66847.342400000
percpu_hash,hash_update,control,16,20000,19085376,954.268800000
percpu_hash,hash_update,real-minus-control,16,20000,0,65.893073600
array,array_lookup,control,17,20000,23788128,1189.406400000
array,array_lookup,real,17,20000,52854048,2642.702400000
array,array_lookup,real-minus-control,17,20000,0,1.453296000
array,array_update,control,17,20000,18742304,937.115200000
array,array_update,real,17,20000,237724320,11886.216000000
array,array_update,real-minus-control,17,20000,0,10.949100800
percpu_array,array_lookup,control,17,20000,24532288,1226.614400000
